Sample name,Score_unsup_CV,Score,TS,texture_unsup_CV,texture_real,Score_semi_sup_CV
901 h1,8.646531791907513,8,901,0,0,7.4637485
901 h2,8.627841733578407,8,901,0,0,7.4637485
901 v1,8.707537779386481,5,901,0,1,6.037666
901 v2,8.70686813186813,6,901,0,0,6.037666
902 h1,8.605621301775148,7,902,0,0,6.751046
902 h2,8.634129890152245,8,902,0,0,7.3518515
902 v1,8.67402376910017,7,902,0,0,6.554817
902 v2,8.68996847765622,7,902,0,0,6.514928
903 h1,8.560476481368358,8,903,0,0,7.8905125
903 h2,8.551629607066708,7,903,0,0,7.6125813
903 v1,8.645781519035776,9,903,0,0,7.912581
903 v2,8.652388172858226,8,903,0,0,7.8905125
904 h1,8.612931798051372,8,904,0,0,7.8905125
904 h2,8.598418972332016,9,904,0,0,7.8905125
904 v1,8.648156967330221,5,904,0,1,5.135327
904 v2,8.598637440758294,4,904,0,1,4.752233
905 h1,8.583878643664486,9,905,0,0,7.8905125
905 h2,8.54215493103806,9,905,0,0,8.154505
905 v1,8.640133460438513,6,905,0,0,6.168942
905 v2,8.650343642611684,7,905,0,0,6.7425413
906 h1,8.618881118881118,2,906,0,1,3.8755312
906 h2,8.663408616435756,1,906,0,1,3.4896562
906 v1,8.649232518476406,3,906,0,1,4.1593266
906 v2,8.640661029976942,2,906,0,1,3.7762327
907 h1,8.672377071951107,6,907,0,0,5.419031
907 h2,8.721507519478166,7,907,0,0,6.453837
907 v1,8.685207318194355,7,907,0,0,6.787432
907 v2,8.7408,6,907,0,0,6.1350527
908 h1,8.642925613496931,5,908,0,1,5.5818577
908 h2,8.67252931323283,5,908,0,1,5.5818577
908 v1,8.660413293972002,7,908,0,0,7.0505743
908 v2,8.700645756457565,7,908,0,0,6.787432
909 h1,8.618600600019356,8,909,0,0,7.762581
909 h2,8.612133072407046,9,909,0,0,8.154505
909 v1,8.682624276394376,7,909,0,0,6.5733123
909 v2,8.662779763024261,8,909,0,0,7.2624416
901 - 0,7.684829833454018,6,901,0,0,6.0816827
901 - 2,6.37410071942446,7,901,0,0,6.6696253
901 - 4,6.96696542893726,7,901,0,0,6.6741014
901 - 6,7.038323965252938,6,901,0,0,6.0816827
901 - 8,7.044128835911742,6,901,0,0,6.1091433
902 - 0,6.570227670753065,6,902,0,0,6.203516
902 - 2,6.819691935971006,6,902,0,0,6.0816827
902 - 4,6.804469273743017,6,902,0,0,6.1091433
902 - 6,6.613990576295759,5,902,0,1,5.4998274
902 - 8,7.177761521580102,6,902,0,0,6.4925632
903 - 0,7.372249004401593,6,903,0,0,6.0816827
903 - 2,6.990453460620525,5,903,0,1,5.539899
903 - 4,6.510050251256281,7,903,0,0,6.955099
903 - 6,6.670349358017319,6,903,0,0,6.595331
903 - 8,7.010257759074171,5,903,0,1,5.902772
904 - 0,6.18625,7,904,0,0,6.6815624
904 - 2,7.1157868525896415,6,904,0,0,6.0816827
904 - 4,6.968181818181818,6,904,0,0,5.902772
904 - 6,7.12129963898917,5,904,0,1,5.902772
904 - 8,7.261453228212232,5,904,0,1,5.902772
905 - 0,6.60814859197124,6,905,0,0,6.1091433
905 - 2,6.555555555555555,6,905,0,0,6.7823744
905 - 4,7.111501757910598,7,905,0,0,6.6741014
905 - 6,6.2346620450606585,7,905,0,0,6.7823744
905 - 8,6.554572271386431,7,905,0,0,6.7823744
906 - 0,5.55268022181146,4,906,1,1,5.1242294
906 - 2,6.391876645355397,7,906,0,0,6.7823744
906 - 4,6.965537047673751,6,906,0,0,5.4998274
906 - 6,6.373572593800978,5,906,0,1,6.0795054
906 - 8,7.084605433376455,4,906,0,1,5.4998274
907 - 0,6.337903582485626,8,907,0,0,6.955099
907 - 2,6.63372681281619,6,907,0,0,6.7823744
907 - 4,6.026429809358752,6,907,0,0,6.294563
907 - 6,7.019556714471968,5,907,0,1,5.539899
907 - 8,6.475310968714663,8,907,0,0,6.7823744
908 - 0,5.741714285714285,5,908,1,1,5.4839973
908 - 2,6.601325019485581,8,908,0,0,7.5702214
908 - 4,5.901431718061674,8,908,1,0,6.955099
908 - 6,6.200093720712277,6,908,0,0,6.822446
908 - 8,6.432335329341317,9,908,0,0,7.3974967
909 - 0,6.425028184892898,7,909,0,0,6.6635885
909 - 2,5.178384660081348,8,909,1,0,7.5702214
909 - 4,6.160581222056632,9,909,0,0,6.938696
909 - 6,4.816,7,909,1,0,6.6741014
909 - 8,6.2776699029126215,7,909,0,0,6.6635885
