Sample Name,Score,Score_semi_sup_CV,Split,TS,Score_unsup_CV
906 - 2,7,6.7458167,Train,906,6.391876645355397
902 - 2,6,6.052775,Train,902,6.819691935971006
904 - 6,5,5.751569,Train,904,7.12129963898917
905 h1,9,8.050047,Train,905,8.583878643664486
901 - 6,6,6.052775,Train,901,7.038323965252938
905 - 0,6,5.93685,Train,905,6.60814859197124
909 - 8,7,6.811032,Train,909,6.2776699029126215
902 v2,7,6.7915845,Train,902,8.68996847765622
903 - 8,5,5.751569,Train,903,7.010257759074171
904 - 4,6,5.8558064,Train,904,6.968181818181818
905 v2,7,6.7147613,Train,905,8.650343642611684
907 - 0,8,6.807847,Train,907,6.337903582485626
907 h2,7,6.8888674,Train,907,8.721507519478166
902 - 6,5,5.5257516,Train,902,6.613990576295759
904 h2,9,7.9735456,Train,904,8.598418972332016
909 - 2,8,7.6444864,Train,909,5.178384660081348
901 v2,6,6.0199747,Train,901,8.70686813186813
905 h2,9,7.8888326,Train,905,8.54215493103806
901 - 4,7,6.811032,Train,901,6.96696542893726
903 h1,8,7.839115,Train,903,8.560476481368358
906 - 8,4,5.0955286,Train,906,7.084605433376455
902 v1,7,6.7060184,Train,902,8.67402376910017
901 - 0,6,6.052775,Train,901,7.684829833454018
908 - 2,8,7.6444864,Train,908,6.601325019485581
905 - 4,7,6.811032,Train,905,7.111501757910598
903 - 0,6,6.052775,Train,903,7.372249004401593
909 - 6,7,6.811032,Train,909,4.816
904 v2,4,4.757304,Train,904,8.598637440758294
907 v2,6,6.271229,Train,907,8.7408
902 - 0,6,6.357372,Train,902,6.570227670753065
907 v1,7,6.9912286,Train,907,8.685207318194355
903 - 4,7,6.7458167,Train,903,6.510050251256281
907 h1,6,5.3697157,Train,907,8.672377071951107
902 - 4,6,5.93685,Train,902,6.804469273743017
909 - 4,9,7.66118,Train,909,6.160581222056632
905 - 2,6,6.287252,Train,905,6.555555555555555
903 v2,8,7.839115,Train,903,8.652388172858226
909 h1,8,7.839115,Train,909,8.618600600019356
909 - 0,7,6.811032,Train,909,6.425028184892898
905 - 6,7,6.7458167,Train,905,6.2346620450606585
906 - 4,6,5.8679223,Train,906,6.965537047673751
907 - 6,5,5.5257516,Train,907,7.019556714471968
901 - 2,7,7.035237,Train,901,6.37410071942446
908 h2,5,5.6113024,Train,908,8.67252931323283
901 h2,8,7.1272483,Train,901,8.627841733578407
904 - 2,6,6.04865,Train,904,7.1157868525896415
906 h2,1,3.466562,Train,906,8.663408616435756
901 v1,5,5.310016,Train,901,8.707537779386481
906 v2,2,3.7082582,Train,906,8.640661029976942
908 - 8,9,7.8273587,Train,908,6.432335329341317
908 - 6,6,6.562866,Train,908,6.200093720712277
906 h1,2,3.4914994,Train,906,8.618881118881118
905 - 8,7,6.7458167,Train,905,6.554572271386431
908 - 0,5,5.961863,Train,908,5.741714285714285
904 v1,5,5.420607,Train,904,8.648156967330221
904 - 0,7,6.6938987,Train,904,6.18625
908 v1,7,6.5954275,Test,908,8.660413293972002
901 h1,8,6.9912286,Test,901,8.646531791907513
906 v1,3,6.7060184,Test,906,8.649232518476406
908 v2,7,7.1272483,Test,908,8.700645756457565
905 v1,6,6.7060184,Test,905,8.640133460438513
908 h1,5,5.177979,Test,908,8.642925613496931
903 v1,9,6.7147613,Test,903,8.645781519035776
907 - 8,8,6.4984813,Test,907,6.475310968714663
902 h1,7,6.9912286,Test,902,8.605621301775148
904 h1,8,7.839115,Test,904,8.612931798051372
903 - 6,6,6.4984813,Test,903,6.670349358017319
909 h2,9,5.010651,Test,909,8.612133072407046
907 - 2,6,6.7458167,Test,907,6.63372681281619
909 v2,8,6.5954275,Test,909,8.662779763024261
907 - 4,6,6.807847,Test,907,6.026429809358752
902 - 8,6,6.811032,Test,902,7.177761521580102
908 - 4,8,6.7458167,Test,908,5.901431718061674
906 - 0,4,5.961863,Test,906,5.55268022181146
904 - 8,5,6.052775,Test,904,7.261453228212232
901 - 8,6,6.234659,Test,901,7.044128835911742
903 h2,7,6.7147613,Test,903,8.551629607066708
906 - 6,5,6.648268,Test,906,6.373572593800978
902 h2,8,6.9912286,Test,902,8.634129890152245
903 - 2,5,5.5257516,Test,903,6.990453460620525
909 v1,7,6.0199747,Test,909,8.682624276394376
