Sample Name,Score,Result
901 - 0,6,Fibrous
901 - 2,7,Fibrous
901 - 4,7,Fibrous
901 - 6,6,Fibrous
901 - 8,6,Fibrous
902 - 0,6,Fibrous
902 - 2,6,Fibrous
902 - 4,6,Fibrous
902 - 6,5,Porous
902 - 8,6,Fibrous
903 - 0,6,Fibrous
903 - 2,5,Porous
903 - 4,7,Fibrous
903 - 6,6,Fibrous
903 - 8,5,Porous
904 - 0,7,Fibrous
904 - 2,6,Fibrous
904 - 4,6,Fibrous
904 - 6,5,Porous
904 - 8,5,Porous
905 - 0,6,Fibrous
905 - 2,6,Fibrous
905 - 4,7,Fibrous
905 - 6,7,Fibrous
905 - 8,7,Fibrous
906 - 0,4,Porous
906 - 2,7,Fibrous
906 - 4,6,Fibrous
906 - 6,5,Porous
906 - 8,4,Porous
907 - 0,8,Fibrous
907 - 2,6,Fibrous
907 - 4,6,Fibrous
907 - 6,5,Porous
907 - 8,8,Fibrous
908 - 0,5,Porous
908 - 2,8,Fibrous
908 - 4,8,Fibrous
908 - 6,6,Fibrous
908 - 8,9,Fibrous
909 - 0,7,Fibrous
909 - 2,8,Fibrous
909 - 4,9,Fibrous
909 - 6,7,Fibrous
909 - 8,7,Fibrous
