,Time(min),Bulk Density,X Extruder Load,X Extruder RPM,X Extruder Water,X Temp Zone 3,Temp Zone 5,Die Temp,SME-Watt,Score,Score_unsup,Score_semi,ts,group,feed_comp_num,Time-ts,Time(min)-group-all,split,Die Temp_gbm,SME-Watt_gbm,Score_gbm
0,0,265.0,34.714478633333336,455.16153235,19.44560513333333,77.97300061666667,115.31976708333332,166.39733655,914.8544712,8.0,6.337903582485626,7.009099,907,FBC + Gluten + SPC,3,66,0,train,166.39733655,914.8544712,8.0
1,1,265.0,33.72260896666667,455.3591164,19.70191235,77.9565412,115.65495813333334,168.22560133333334,878.1130392,7.0,6.485815197650908,6.934988499999999,907,FBC + Gluten + SPC,3,67,1,train,168.22560133333334,878.1130392,7.0
2,2,265.0,32.83323815,455.38149648333336,20.04444515,77.9561348,115.86501121666667,167.66277688333332,842.0739696,6.0,6.63372681281619,6.860878,907,FBC + Gluten + SPC,3,68,2,train,165.32675856346154,853.9497530049773,6.101314189706873
3,3,265.0,33.5365065,455.4674999500001,19.72700785,77.95654121666666,114.27762785,167.43012933333333,872.6775144000001,6.0,6.330078311087471,6.49838185,907,FBC + Gluten + SPC,3,69,3,train,165.32675856346154,838.1436187911962,6.027990847506197
4,4,265.0,33.862287450000004,455.3885302666667,19.892787783333333,78.25281038333334,113.89835423333334,165.86722525000002,883.0256772,6.0,6.026429809358752,6.1358857,907,FBC + Gluten + SPC,3,70,4,train,165.1845012241197,868.3405884623656,5.935283946771622
5,5,265.0,33.99262015,455.2350666833333,18.8974307,79.37184573333333,113.94020215,166.62266958333333,889.4718144000001,5.5,6.52299326191536,5.77751935,907,FBC + Gluten + SPC,3,71,5,train,165.1845012241197,868.3405884623656,5.893436613748861
6,6,265.0,34.9384721,455.0521895666667,18.68230628333333,79.9576778,113.72385175,165.52973371666667,924.4963704,5.0,7.019556714471968,5.419153,907,FBC + Gluten + SPC,3,72,6,train,165.32675856346154,880.5658347087063,5.620531731058431
7,7,265.0,34.28254173333333,455.20757145,19.77377835,80.35656411666668,114.15208368333332,169.0365156,899.0903052,6.5,6.747433841593315,6.1400155,907,FBC + Gluten + SPC,3,73,7,train,166.17127663944459,887.6267023827047,5.834493261341214
8,8,265.0,33.28721848333333,455.4131483666667,19.9135822,79.54334841666667,114.97929428333332,168.94345646666667,860.1013068000001,8.0,6.475310968714663,6.860878,907,FBC + Gluten + SPC,3,74,8,train,166.17127663944459,872.1958477058237,6.8601066405381035
9,9,265.0,33.531630416666665,455.3597558333333,19.69297123333333,78.9538586,114.91205288333336,168.19187246666667,869.7353976,7.25,7.590141973060285,6.615202,907,FBC + Gluten + SPC,3,75,9,train,165.32675856346154,865.9362525329076,7.0059788568204056
10,10,265.0,34.17780848333334,455.29389455,19.639596583333333,78.95243616666667,114.14497348333336,166.76266440000003,896.6749536000001,6.5,8.704972977405907,6.369526,907,FBC + Gluten + SPC,3,76,10,train,165.1845012241197,868.3792465879552,6.101314189706873
